"depth","Chl"
1,5
2,5.14721116153601
3,5.54643854013043
4,6.87541776174773
5,7.06578766434439
6,8.5611559972944
7,13.2451335131532
8,7.24463288526205
9,6.71011050920367
10,4.97122898470003
11,4.30760722767949
12,3.31491706704657
13,3.19072988441054
14,3.61853895645024
15,3.98415380280292
16,3.51047091504015
17,4.23423722224739
18,5.01789282794618
19,2.9381064861328
20,4.74179511554348
21,3.47222003167993
22,3.3039052228369
23,2.63114623162475
24,4.22114467451363
25,3.16344810669794
26,2.85799725966639
27,2.40695260944553
28,3.89170892993537
29,2.58062566367055
30,1.89480610295889
31,2.52808768040043
32,2.27013021390744
33,0.664784951100211
34,2.76870384990639
35,1.38840814386609
36,1.45669737537075
37,1.25502155589707
38,1.61346117451944
39,1.90493579016994
40,1.49656795756308
41,2.07021060656343
42,1.64784408451309
43,1.574784158663
44,1.57096305857284
45,1.46228648786978
46,1.36114390264485
47,1.03204555096445
48,1.12886679136712
49,1.15319987690869
50,0.982031618829237
51,0.729306200033598
52,0.682812184053179
53,0.585888909739647
54,0.994032357484508
55,0.800305494272078
56,0.505170452757056
57,0.252088455105383
58,0.036872155068765
59,0.925244627082043
60,0.0116699160260999
61,0.193196212448162
62,0.113527444288757
63,0.0944500372279963
64,0.0855024859621188
65,0.178683754729445
66,0.0603869689883169
67,0.0739764127272959
68,0.0593202197890686
69,0.0561693322964946
70,0.0716125406869426
71,0.0522561011551886
72,0.0223353252797797
73,0.0461773393353429
74,0.115895929723013
75,0.0500345439323503
76,0.0541470908750215
77,0.00990765876141117
78,0.105236910737235
79,0.0540667593215247
80,0.55995268507381
81,0.0309457172938289
82,0.137171792496208
83,0.203839871446848
84,0.123222365632422
85,0.114805726002499
86,0.110369905315734
87,0.124382748953821
88,0.12949243543203
89,0.146612705604859
90,0.343184725322478
91,0.270197220643788
92,0.155001180186485
93,0.200986983571945
94,0.200216972757955
95,0.22216847419168
96,0.278407964480287
97,0.356595701472992
98,0.421502904091714
99,0.296626710231822
100,0.18983823813465
